Customer.Code,Customer.Name,Tier,Potential,Adoption,Planned.Interaction,Actual.Interaction,DiffInteraction,Total,Potential_norm,Adoption_norm,DiffInteraction_norm,Tier_norm,Total_norm,Province,ZipCode
726211,Apothek_726211,2,M,B,2,0,-2,34414,0.5,0.5,0.142857143,0.5,0.06720489,Anvers,2230
199388,Apothek_199388,1,H,B,3,2,-1,35757,1,0.5,0.285714286,1,0.069830829,Anvers,2440
225370,Apothek_225370,2,M,B,2,4,2,58294,0.5,0.5,0.714285714,0.5,0.113896949,Anvers,2440
214077,Apothek_214077,1,H,B,3,5,2,49716,1,0.5,0.714285714,1,0.097124567,Anvers,2330
269790,Apothek_269790,3,M,A,1,2,1,23350,0.5,1,0.571428571,0,0.045571684,Anvers,2328
925060,Apothek_925060,3,M,A,1,1,0,30111,0.5,1,0.428571429,0,0.058791325,Anvers,2275
710643,Apothek_710643,3,L,B,1,2,1,38836,0,0.5,0.571428571,0,0.075851133,Anvers,2250
730293,Apothek_730293,1,M,A,3,1,-2,18151,0.5,1,0.142857143,1,0.03540619,Anvers,2480
868246,Apothek_868246,2,M,B,2,4,2,44431,0.5,0.5,0.714285714,0.5,0.086790918,Anvers,2235
333474,Apothek_333474,2,M,B,2,4,2,17310,0.5,0.5,0.714285714,0.5,0.0337618,Anvers,2490
767887,Apothek_767887,2,M,B,2,4,2,NA,0.5,0.5,0.714285714,0.5,NA,Anvers,2400
910119,Apothek_910119,1,H,C,3,2,-1,NA,1,0,0.285714286,1,NA,Anvers,2400
615002,Apothek_615002,1,H,B,3,0,-3,14824,1,0.5,0,1,0.028900977,Anvers,2400
677011,Apothek_677011,1,H,C,3,0,-3,NA,1,0,0,1,NA,Anvers,2400
852642,Apothek_852642,2,M,C,2,5,3,NA,0.5,0,0.857142857,0.5,NA,Anvers,2490
568586,Apothek_568586,1,H,B,3,3,0,66749,1,0.5,0.428571429,1,0.130428832,Anvers,2260
247363,Apothek_247363,1,H,B,3,4,1,40078,1,0.5,0.571428571,1,0.078279589,Anvers,2490
720480,Apothek_720480,3,L,A,1,5,4,30343,0,1,1,0,0.05924495,Anvers,2200
615315,Apothek_615315,1,H,B,3,1,-2,45004,1,0.5,0.142857143,1,0.087911293,Anvers,2200
990355,Apothek_990355,1,M,A,3,0,-3,53112,0.5,1,0,1,0.103764694,Anvers,2491
930753,Apothek_930753,1,H,B,3,1,-2,18978,1,0.5,0.142857143,1,0.037023205,Anvers,2400
546407,Apothek_546407,3,L,C,1,0,-1,44671,0,0,0.285714286,0,0.087260185,Anvers,2440
897933,Apothek_897933,2,M,B,2,5,3,4410,0.5,0.5,0.857142857,0.5,0.008538703,Anvers,2260
634523,Apothek_634523,1,H,A,3,0,-3,259,1,1,0,1,0.00042234,Anvers,2490
658733,Apothek_658733,3,L,C,1,0,-1,32786,0,0,0.285714286,0,0.064021696,Anvers,2200
283040,Apothek_283040,1,H,B,3,1,-2,30516,1,0.5,0.142857143,1,0.059583213,Anvers,2235
138584,Apothek_138584,2,M,B,2,5,3,NA,0.5,0.5,0.857142857,0.5,NA,Anvers,2200
208353,Apothek_208353,2,H,C,2,0,-2,NA,1,0,0.142857143,0.5,NA,Anvers,2440
663407,Apothek_663407,1,H,B,3,1,-2,79705,1,0.5,0.142857143,1,0.155761425,Anvers,2235
651587,Apothek_651587,3,M,C,1,4,3,NA,0.5,0,0.857142857,0,NA,Anvers,2260
319939,Apothek_319939,2,M,B,2,0,-2,36735,0.5,0.5,0.142857143,0.5,0.071743092,Anvers,2230
555692,Apothek_555692,2,M,B,2,1,-1,NA,0.5,0.5,0.285714286,0.5,NA,Anvers,2431
555503,Apothek_555503,2,M,B,2,4,2,4721,0.5,0.5,0.714285714,0.5,0.009146795,Anvers,2400
285323,Apothek_285323,1,H,B,3,5,2,28095,1,0.5,0.714285714,1,0.054849483,Anvers,2400
953621,Apothek_953621,2,M,B,2,0,-2,55445,0.5,0.5,0.142857143,0.5,0.10832636,Anvers,2480
984868,Apothek_984868,3,M,A,1,4,3,NA,0.5,1,0.857142857,0,NA,Anvers,2250
211358,Apothek_211358,1,H,C,3,4,1,58550,1,0,0.571428571,1,0.1143975,Anvers,2200
127751,Apothek_127751,3,L,A,1,4,3,9106,0,1,0.857142857,0,0.017720692,Anvers,2440
324311,Apothek_324311,1,H,A,3,5,2,84052,1,1,0.714285714,1,0.164261022,Anvers,2440
794484,Apothek_794484,1,H,A,3,4,1,37267,1,1,0.571428571,1,0.0727833,Anvers,2270
209718,Apothek_209718,3,M,B,1,5,4,100,0.5,0.5,1,0,0.000111451,Anvers,2200
584424,Apothek_584424,3,L,A,1,5,4,16305,0,1,1,0,0.031796745,Anvers,2490
756569,Apothek_756569,1,H,A,3,4,1,55475,1,1,0.571428571,1,0.108385018,Anvers,2440
271899,Apothek_271899,1,H,A,3,1,-2,75320,1,1,0.142857143,1,0.147187527,Anvers,2430
859222,Apothek_859222,2,M,B,2,5,3,8180,0.5,0.5,0.857142857,0.5,0.015910104,Anvers,2440
463880,Apothek_463880,1,H,C,3,2,-1,42956,1,0,0.285714286,1,0.083906882,Anvers,2250
136262,Apothek_136262,3,L,B,1,1,0,12633,0,0.5,0.428571429,0,0.024616961,Anvers,2450
941088,Apothek_941088,3,H,C,1,4,3,NA,1,0,0.857142857,0,NA,Anvers,2431
122421,Apothek_122421,2,H,B,2,4,2,34907,1,0.5,0.714285714,0.5,0.068168842,Anvers,2235
894031,Apothek_894031,2,M,B,2,4,2,47590,0.5,0.5,0.714285714,0.5,0.092967644,Anvers,2440
494957,Apothek_494957,1,H,A,3,3,0,47376,1,1,0.428571429,1,0.092549214,Anvers,2270
168892,Apothek_168892,1,M,B,3,5,2,12891,0.5,0.5,0.714285714,1,0.025121423,Anvers,2440
170138,Apothek_170138,1,H,A,3,0,-3,54403,1,1,0,1,0.106288959,Anvers,2200
542287,Apothek_542287,1,H,B,3,4,1,48813,1,0.5,0.571428571,1,0.09535895,Anvers,2400
184370,Apothek_184370,1,H,A,3,3,0,NA,1,1,0.428571429,1,NA,Anvers,2260
893379,Apothek_893379,2,M,B,2,1,-1,NA,0.5,0.5,0.285714286,0.5,NA,Anvers,2480
734779,Apothek_734779,3,L,A,1,3,2,47102,0,1,0.714285714,0,0.092013468,Anvers,2440
322683,Apothek_322683,3,L,A,1,1,0,NA,0,1,0.428571429,0,NA,Anvers,2440
247083,Apothek_247083,3,L,C,1,1,0,NA,0,0,0.428571429,0,NA,Anvers,2200
152912,Apothek_152912,3,L,B,1,2,1,NA,0,0.5,0.571428571,0,NA,Anvers,2450
130163,Apothek_130163,3,M,C,1,1,0,NA,0.5,0,0.428571429,0,NA,Anvers,2400
913755,Apothek_913755,3,L,C,1,0,-1,NA,0,0,0.285714286,0,NA,Anvers,2430
422588,Apothek_422588,3,L,B,1,3,2,NA,0,0.5,0.714285714,0,NA,Anvers,2260
283576,Apothek_283576,1,H,B,3,1,-2,41579,1,0.5,0.142857143,1,0.081214463,Anvers,2230
707759,Apothek_707759,2,H,C,2,1,-1,35886,1,0,0.285714286,0.5,0.07008306,Anvers,2450
413111,Apothek_413111,1,H,B,3,2,-1,19379,1,0.5,0.285714286,1,0.037807272,Anvers,2450
374750,Apothek_374750,1,H,B,3,3,0,5915,1,0.5,0.428571429,1,0.011481397,Anvers,2400
580374,Apothek_580374,2,M,B,2,2,0,NA,0.5,0.5,0.428571429,0.5,NA,Anvers,2400
103850,Apothek_103850,2,M,C,2,0,-2,61616,0.5,0,0.142857143,0.5,0.120392385,Anvers,2360
931918,Apothek_931918,1,H,A,3,2,-1,95831,1,1,0.285714286,1,0.187292252,Anvers,2300
684982,Apothek_684982,1,H,B,3,3,0,40035,1,0.5,0.428571429,1,0.078195512,Anvers,2360
350060,Apothek_350060,3,L,C,1,2,1,NA,0,0,0.571428571,0,NA,Anvers,2880
842212,Apothek_842212,1,H,A,3,4,1,82295,1,1,0.571428571,1,0.160825597,Anvers,2060
707150,Apothek_707150,2,M,C,2,2,0,45747,0.5,0,0.428571429,0.5,0.089364065,Anvers,2860
128075,Apothek_128075,2,M,B,2,3,1,23343,0.5,0.5,0.571428571,0.5,0.045557997,Anvers,2627
608633,Apothek_608633,1,H,B,3,2,-1,47037,1,0.5,0.285714286,1,0.091886375,Anvers,2340
676220,Apothek_676220,1,H,C,3,0,-3,18451,1,0,0,1,0.035992773,Anvers,2520
369609,Apothek_369609,1,H,B,3,2,-1,24178,1,0.5,0.285714286,1,0.047190655,Anvers,2070
179622,Apothek_179622,3,M,B,1,0,-1,66490,0.5,0.5,0.285714286,0,0.129922415,Anvers,2000
433420,Apothek_433420,3,M,C,1,3,2,42680,0.5,0,0.714285714,0,0.083367225,Anvers,2900
242502,Apothek_242502,3,L,C,1,5,4,35608,0,0,1,0,0.069539493,Anvers,2140
488875,Apothek_488875,3,M,B,1,2,1,45531,0.5,0.5,0.571428571,0,0.088941725,Anvers,2100
995187,Apothek_995187,2,M,B,2,5,3,67687,0.5,0.5,0.857142857,0.5,0.132262883,Anvers,2340
446376,Apothek_446376,2,M,C,2,3,1,35791,0.5,0,0.571428571,0.5,0.069897309,Anvers,2600
217437,Apothek_217437,3,M,C,1,3,2,16008,0.5,0,0.714285714,0,0.031216027,Anvers,2018
895924,Apothek_895924,2,M,C,2,0,-2,11820,0.5,0,0.142857143,0.5,0.023027319,Anvers,2811
507899,Apothek_507899,1,H,C,3,0,-3,NA,1,0,0,1,NA,Anvers,2540
510204,Apothek_510204,2,H,B,2,2,0,NA,1,0.5,0.428571429,0.5,NA,Anvers,2600
501845,Apothek_501845,2,H,B,2,4,2,NA,1,0.5,0.714285714,0.5,NA,Anvers,2640
685157,Apothek_685157,2,M,C,2,4,2,NA,0.5,0,0.714285714,0.5,NA,Anvers,2650
409858,Apothek_409858,3,M,B,1,5,4,NA,0.5,0.5,1,0,NA,Anvers,2000
181287,Apothek_181287,2,M,C,2,0,-2,31371,0.5,0,0.142857143,0.5,0.061254976,Anvers,2060
586501,Apothek_586501,2,M,C,2,4,2,48883,0.5,0,0.714285714,0.5,0.09549582,Anvers,2100
753715,Apothek_753715,3,M,C,1,1,0,NA,0.5,0,0.428571429,0,NA,Anvers,2140
143930,Apothek_143930,2,M,C,2,0,-2,NA,0.5,0,0.142857143,0.5,NA,Anvers,2640
